panel,panel_index,id,name,L,a,b,R,G,B,measured,notes
aqua_teal_green_blue,1,846,SEA GLASS,,,,,,,false,
aqua_teal_green_blue,2,1005,AQUA,,,,,,,false,
aqua_teal_green_blue,3,1514,ROBIN EGG,,,,,,,false,
aqua_teal_green_blue,4,1011,BAHAMA BLUE,,,,,,,false,
aqua_teal_green_blue,5,491,JAMAICA,,,,,,,false,
aqua_teal_green_blue,6,1282,PEACOCK,,,,,,,false,
aqua_teal_green_blue,7,139,LAGOON,,,,,,,false,
aqua_teal_green_blue,8,1376,TURQUOISE,,,,,,,false,
aqua_teal_green_blue,9,151,CYAN,,,,,,,false,
aqua_teal_green_blue,10,446,OASIS,,,,,,,false,
aqua_teal_green_blue,11,479,MEDITERRANEAN,,,,,,,false,
aqua_teal_green_blue,12,233,CELESTIAL,,,,,,,false,
aqua_teal_green_blue,13,1852,SEA MIST,,,,,,,false,
aqua_teal_green_blue,14,1173,ICE FRAPPE,,,,,,,false,
aqua_teal_green_blue,15,1833,ALOHA,,,,,,,false,
aqua_teal_green_blue,16,45,POOL,,,,,,,false,
aqua_teal_green_blue,17,1061,CANDY GREEN,,,,,,,false,
aqua_teal_green_blue,18,1321,SAGE,,,,,,,false,
aqua_teal_green_blue,19,1009,AZURE,,,,,,,false,
aqua_teal_green_blue,20,442,CAPRI,,,,,,,false,
aqua_teal_green_blue,21,440,BREAKERS,,,,,,,false,
aqua_teal_green_blue,22,1183,JADE GREEN,,,,,,,false,
aqua_teal_green_blue,23,1064,CARIBBEAN,,,,,,,false,
aqua_teal_green_blue,24,1373,TEAL BLUE,,,,,,,false,
aqua_teal_green_blue,25,837,ARUBA,,,,,,,false,
aqua_teal_green_blue,26,200,POND,,,,,,,false,
aqua_teal_green_blue,27,197,ALOE,,,,,,,false,
aqua_teal_green_blue,28,1474,CYPRESS,,,,,,,false,
aqua_teal_green_blue,29,445,KALE,,,,,,,false,
aqua_teal_green_blue,30,1031,BLUEGRASS,,,,,,,false,
aqua_teal_green_blue,31,1135,EMERALD,,,,,,,false,
aqua_teal_green_blue,32,483,ULTRA MARINE,,,,,,,false,
aqua_teal_green_blue,33,146,GLACIER,,,,,,,false,
aqua_teal_green_blue,34,356,EVERGLADE,,,,,,,false,
aqua_teal_green_blue,35,1361,SPRUCE,,,,,,,false,
aqua_teal_green_blue,36,1137,EVERGREEN,,,,,,,false,
aqua_teal_green_blue,37,316,TARRAGON,,,,,,,false,
aqua_teal_green_blue,38,29,SPRING,,,,,,,false,
aqua_teal_green_blue,39,1065,CELADON,,,,,,,false,
aqua_teal_green_blue,40,1259,OLD GREEN,,,,,,,false,
aqua_teal_green_blue,41,30,LAUREL,,,,,,,false,
aqua_teal_green_blue,42,28,LEAF,,,,,,,false,
aqua_teal_green_blue,43,1840,DILL,,,,,,,false,
aqua_teal_green_blue,44,31,PALM,,,,,,,false,
aqua_teal_green_blue,45,136,BASIL,,,,,,,false,
aqua_teal_green_blue,46,409,JUNIPER,,,,,,,false,
aqua_teal_green_blue,47,1145,FOREST,,,,,,,false,
aqua_teal_green_blue,48,1166,HUNTER GREEN,,,,,,,false,
aqua_teal_green_blue,49,1234,MINT,,,,,,,false,
aqua_teal_green_blue,50,145,PEAR,,,,,,,false,
aqua_teal_green_blue,51,221,PARAKEET,,,,,,,false,
aqua_teal_green_blue,52,1842,FERNDALE,,,,,,,false,
aqua_teal_green_blue,53,348,ASPARAGUS,,,,,,,false,
aqua_teal_green_blue,54,1293,PISTACHIO,,,,,,,false,
aqua_teal_green_blue,55,1141,FERN,,,,,,,false,
aqua_teal_green_blue,56,135,CLOVER,,,,,,,false,
aqua_teal_green_blue,57,1161,HOLLY,,,,,,,false,
aqua_teal_green_blue,58,1834,BALSAM,,,,,,,false,
aqua_teal_green_blue,59,1388,WILLOW,,,,,,,false,
aqua_teal_green_blue,60,1185,KELLY,,,,,,,false,
browns_reds_purples,1,1386,WHEAT,,,,,,,false,
browns_reds_purples,2,492,LATTE,,,,,,,false,
browns_reds_purples,3,1473,BISCUIT,,,,,,,false,
browns_reds_purples,4,1371,TAUPE,,,,,,,false,
browns_reds_purples,5,178,LEATHER,,,,,,,false,
browns_reds_purples,6,857,ROASTED PECAN,,,,,,,false,
browns_reds_purples,7,138,EARTH,,,,,,,false,
browns_reds_purples,8,275,SABLE,,,,,,,false,
browns_reds_purples,9,1237,MOCHA,,,,,,,false,
browns_reds_purples,10,406,CAPPUCCINO,,,,,,,false,
browns_reds_purples,11,407,CHESTNUT,,,,,,,false,
browns_reds_purples,12,1851,OTTER,,,,,,,false,
browns_reds_purples,13,1332,SIENNA,,,,,,,false,
browns_reds_purples,14,482,TERRACOTTA,,,,,,,false,
browns_reds_purples,15,157,SPICE,,,,,,,false,
browns_reds_purples,16,150,PAPRIKA,,,,,,,false,
browns_reds_purples,17,1075,CINNAMON,,,,,,,false,
browns_reds_purples,18,1082,COCOA,,,,,,,false,
browns_reds_purples,19,1042,BRICK,,,,,,,false,
browns_reds_purples,20,1215,MAHOGANY,,,,,,,false,
browns_reds_purples,21,1045,BROWN,,,,,,,false,
browns_reds_purples,22,1073,CHOCOLATE,,,,,,,false,
browns_reds_purples,23,1083,COFFEE,,,,,,,false,
browns_reds_purples,24,1136,ESPRESSO,,,,,,,false,
browns_reds_purples,25,143,PETAL,,,,,,,false,
browns_reds_purples,26,485,BALLERINA,,,,,,,false,
browns_reds_purples,27,1393,WOODROSE,,,,,,,false,
browns_reds_purples,28,1036,BLUSH PINK,,,,,,,false,
browns_reds_purples,29,1097,DEEP ROSE,,,,,,,false,
browns_reds_purples,30,956,FOXGLOVE,,,,,,,false,
browns_reds_purples,31,1310,ROSE,,,,,,,false,
browns_reds_purples,32,1294,PLUM,,,,,,,false,
browns_reds_purples,33,1039,BORDEAUX,,,,,,,false,
browns_reds_purples,34,1151,GARNET,,,,,,,false,
browns_reds_purples,35,1054,BURGUNDY,,,,,,,false,
browns_reds_purples,36,1469,RAISIN,,,,,,,false,
browns_reds_purples,37,24,PETUNIA,,,,,,,false,
browns_reds_purples,38,487,CORSAGE,,,,,,,false,
browns_reds_purples,39,258,PANSY,,,,,,,false,
browns_reds_purples,40,1484,LUPINE,,,,,,,false,
browns_reds_purples,41,1383,VIOLET,,,,,,,false,
browns_reds_purples,42,489,GUMDROP,,,,,,,false,
browns_reds_purples,43,1214,MAGENTA,,,,,,,false,
browns_reds_purples,44,473,GERANIUM,,,,,,,false,
browns_reds_purples,45,80,MULBERRY,,,,,,,false,
browns_reds_purples,46,1485,DK. VIOLET,,,,,,,false,
browns_reds_purples,47,1016,BERRY,,,,,,,false,
browns_reds_purples,48,1133,EGGPLANT,,,,,,,false,
browns_reds_purples,49,1266,ORCHID,,,,,,,false,
browns_reds_purples,50,134,THISTLE,,,,,,,false,
browns_reds_purples,51,1850,ORCHID ICE,,,,,,,false,
browns_reds_purples,52,1392,WISTERIA,,,,,,,false,
browns_reds_purples,53,488,DAHLIA,,,,,,,false,
browns_reds_purples,54,495,MORNING GLORY,,,,,,,false,
browns_reds_purples,55,477,HELIOTROPE,,,,,,,false,
browns_reds_purples,56,142,CROCUS,,,,,,,false,
browns_reds_purples,57,1857,VELVET,,,,,,,false,
browns_reds_purples,58,327,TULIP,,,,,,,false,
browns_reds_purples,59,1301,PURPLE,,,,,,,false,
browns_reds_purples,60,188,HIBISCUS,,,,,,,false,
neutrals_greys,1,1007,ASH,,,,,,,false,
neutrals_greys,2,456,SHALE,,,,,,,false,
neutrals_greys,3,500,TITANIUM,,,,,,,false,
neutrals_greys,4,408,IRON,,,,,,,false,
neutrals_greys,5,854,OVERCAST,,,,,,,false,
neutrals_greys,6,1854,SHARK,,,,,,,false,
neutrals_greys,7,1223,MED. GREY,,,,,,,false,
neutrals_greys,8,91,STEEL,,,,,,,false,
neutrals_greys,9,1837,CHALKBOARD,,,,,,,false,
neutrals_greys,10,106,METAL,,,,,,,false,
neutrals_greys,11,1080,COAL,,,,,,,false,
neutrals_greys,12,1071,CHARCOAL,,,,,,,false,
neutrals_greys,13,1387,WHITE,,,,,,,false,
neutrals_greys,14,1287,PFD BLEACH WHITE,,,,,,,false,
neutrals_greys,15,1339,SNOW,,,,,,,false,
neutrals_greys,16,1037,BONE,,,,,,,false,
neutrals_greys,17,863,HAZE,,,,,,,false,
neutrals_greys,18,839,DOVE,,,,,,,false,
neutrals_greys,19,1333,SILVER,,,,,,,false,
neutrals_greys,20,457,SHADOW,,,,,,,false,
neutrals_greys,21,856,QUICKSILVER,,,,,,,false,
neutrals_greys,22,1847,LIGHTHOUSE,,,,,,,false,
neutrals_greys,23,858,SHITAKE,,,,,,,false,
neutrals_greys,24,1470,PEWTER,,,,,,,false,
neutrals_greys,25,849,DESERT GREEN,,,,,,,false,
neutrals_greys,26,1328,SEAFOAM,,,,,,,false,
neutrals_greys,27,841,EUCALYPTUS,,,,,,,false,
neutrals_greys,28,186,STRAW,,,,,,,false,
neutrals_greys,29,478,LIMESTONE,,,,,,,false,
neutrals_greys,30,198,PARSLEY,,,,,,,false,
neutrals_greys,31,201,SWEET PEA,,,,,,,false,
neutrals_greys,32,1238,MOSS,,,,,,,false,
neutrals_greys,33,1256,O.D. GREEN,,,,,,,false,
neutrals_greys,34,340,HERB,,,,,,,false,
neutrals_greys,35,1713,SMOKE,,,,,,,false,
neutrals_greys,36,859,ZINC,,,,,,,false,
neutrals_greys,37,1176,ICE PEACH,,,,,,,false,
neutrals_greys,38,1205,LT. PARFAIT,,,,,,,false,
neutrals_greys,39,1271,SHELL,,,,,,,false,
neutrals_greys,40,843,LINGERIE,,,,,,,false,
neutrals_greys,41,1181,IVORY,,,,,,,false,
neutrals_greys,42,413,PARCHMENT,,,,,,,false,
neutrals_greys,43,1362,STONE,,,,,,,false,
neutrals_greys,44,486,COBBLESTONE,,,,,,,false,
neutrals_greys,45,1017,BISON,,,,,,,false,
neutrals_greys,46,1239,MUSHROOM,,,,,,,false,
neutrals_greys,47,850,DOESKIN,,,,,,,false,
neutrals_greys,48,1855,SUEDE,,,,,,,false,
neutrals_greys,49,1242,NATURAL,,,,,,,false,
neutrals_greys,50,1268,OYSTER,,,,,,,false,
neutrals_greys,51,184,EGGSHELL,,,,,,,false,
neutrals_greys,52,1090,CREAM,,,,,,,false,
neutrals_greys,53,1303,PUTTY,,,,,,,false,
neutrals_greys,54,1323,SAND,,,,,,,false,
neutrals_greys,55,1369,TAN,,,,,,,false,
neutrals_greys,56,1069,CHAMPAGNE,,,,,,,false,
neutrals_greys,57,1187,KHAKI,,,,,,,false,
neutrals_greys,58,1306,RAFFIA,,,,,,,false,
neutrals_greys,59,499,SCONE,,,,,,,false,
neutrals_greys,60,1162,HONEY,,,,,,,false,
neutrals_greys,61,295,GRAPHITE,,,,,,,false,
neutrals_greys,62,1844,GRIZZLY,,,,,,,false,
neutrals_greys,63,862,GOTHAM GREY,,,,,,,false,
neutrals_greys,64,359,PEPPER,,,,,,,false,
neutrals_greys,65,1019,BLACK,,,,,,,false,
purple_blue,1,844,PRINCESS,,,,,,,false,
purple_blue,2,1191,LILAC,,,,,,,false,
purple_blue,3,1189,LAVENDER,,,,,,,false,
purple_blue,4,1003,AMETHYST,,,,,,,false,
purple_blue,5,1048,BRT. PERI,,,,,,,false,
purple_blue,6,852,NOBLE PURPLE,,,,,,,false,
purple_blue,7,1541,DEEP BLUE,,,,,,,false,
purple_blue,8,415,REGAL,,,,,,,false,
purple_blue,9,140,NIGHTFALL,,,,,,,false,
purple_blue,10,1232,MIDNIGHT,,,,,,,false,
purple_blue,11,412,NAUTICAL,,,,,,,false,
purple_blue,12,1178,INDIGO,,,,,,,false,
purple_blue,13,152,CLOUD,,,,,,,false,
purple_blue,14,1029,BLUE BELL,,,,,,,false,
purple_blue,15,27,CORNFLOWER,,,,,,,false,
purple_blue,16,318,GRAPEMIST,,,,,,,false,
purple_blue,17,1171,HYACINTH,,,,,,,false,
purple_blue,18,357,LAPIS,,,,,,,false,
purple_blue,19,346,REGATTA,,,,,,,false,
purple_blue,20,1314,ROYAL,,,,,,,false,
purple_blue,21,454,PRUSSIAN,,,,,,,false,
purple_blue,22,1389,WINDSOR,,,,,,,false,
purple_blue,23,458,STORM,,,,,,,false,
purple_blue,24,1243,NAVY,,,,,,,false,
